                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.2195,                 1.2749,                 1.3198,                0.75437,                0.66283,                0.73486,                0.44382,                 1.3609,                 1.1788,                 1.2707,               0.007129,               0.007129,               0.007129
                     60,                 1.2103,                 1.2682,                 1.3197,                0.76183,                0.66139,                0.73142,                0.43616,                 1.3689,                 1.1837,                 1.2729,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.2141,                 1.2781,                 1.3239,                0.77431,                0.65243,                0.73336,                0.44905,                 1.3389,                 1.1677,                 1.2493,                0.00703,                0.00703,                0.00703
                     62,                 1.2062,                 1.2772,                 1.3169,                0.75988,                0.66907,                0.73259,                0.43921,                 1.3535,                 1.1789,                 1.2606,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.2017,                 1.2668,                 1.3191,                0.76887,                0.67669,                0.74007,                0.45816,                 1.3155,                 1.1475,                 1.2366,               0.006931,               0.006931,               0.006931
                     64,                 1.2073,                 1.2687,                 1.3188,                0.78565,                0.65962,                 0.7403,                0.45606,                  1.328,                 1.1372,                 1.2392,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.1964,                 1.2733,                 1.3161,                0.76116,                0.67402,                 0.7436,                0.46448,                 1.3212,                  1.137,                 1.2378,               0.006832,               0.006832,               0.006832
                     66,                 1.1999,                 1.2545,                 1.3119,                 0.7778,                0.67296,                 0.7502,                0.46643,                 1.3023,                 1.1304,                 1.2199,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.1914,                 1.2451,                 1.3075,                0.78406,                0.66881,                 0.7518,                0.45986,                 1.3261,                 1.1339,                 1.2369,               0.006733,               0.006733,               0.006733
                     68,                 1.1936,                 1.2475,                 1.3104,                0.78385,                0.67521,                0.74867,                0.46261,                 1.3126,                 1.1252,                 1.2316,              0.0066835,              0.0066835,              0.0066835
